answer\BGM\bellflower.ogg.wav,Bellflower ,Higurashi no Naku Koro ni Kai ,738CFl3SVio,
answer\BGM\bigbear.ogg.wav,Big Bear ,Higurashi no Naku Koro ni Kai ,i2bp9VpmSCM,
answer\BGM\birth_and_death.ogg.wav,Birth and death ,Higurashi no Naku Koro ni Kai ,7CLltCSDnY0,
answer\BGM\b_dive.ogg.wav,Sheep Counts ,Higurashi no Naku Koro ni Kai ,lEH5EVCS0yA,
answer\BGM\cafe.ogg.wav,Boy in the Windmill (Fuushagoya no Shounen???????? ) ,Higurashi no Naku Koro ni Kai ,szDKbPLq-to,
answer\BGM\cradle_song.ogg.wav,Cradle Song ,Higurashi no Naku Koro ni Kai ,ie1GdUcudEc,
answer\BGM\deadend.ogg.wav,Unseen Future (Mienu Mirai??????) ,Higurashi no Naku Koro ni Kai ,Y44kndqH2Xc,
answer\BGM\demo_48khz.ogg.wav,Shadow (Kage??(??)) ,Higurashi no Naku Koro ni Kai ,KRdt0eQTUdg,
answer\BGM\demo_long.ogg.wav,you -destructive ,Higurashi no Naku Koro ni Kai ,idniooAvNfw,
answer\BGM\denwa.ogg.wav,
answer\BGM\denwa_m.ogg.wav,
answer\BGM\depressive paranoia.ogg.wav,Depressive Paranoia ,Higurashi no Naku Koro ni Kai : The Lost Tracks ,rOK2xE405_s,
answer\BGM\depressive_paranoia.ogg.wav,Depressive Paranoia ,Higurashi no Naku Koro ni Kai : The Lost Tracks ,rOK2xE405_s,
answer\BGM\door.ogg.wav,Door ,Higurashi no Naku Koro ni Kai ,N1F3VOhpJvE,
answer\BGM\down.ogg.wav,
answer\BGM\er_ver3.ogg.wav,Two, Alone (Futari. Hitori. ? ????????) ,Higurashi no Naku Koro ni Kai ,Wvn7gr2uxGw,
answer\BGM\fearlessnessl_e.ogg.wav,Fearlessness ,Higurashi no Naku Koro ni Kai ,HZ5IP2_MXfY,
answer\BGM\feel.ogg.wav,Feel ,Higurashi no Naku Koro ni Kai ,2QwwU37PIAw,
answer\BGM\getting_mad.ogg.wav,Gallery of Madness (Kiyouki he no Kairou???????) ,Higurashi no Naku Koro ni Kai ,tQXW5L59Zpo,
answer\BGM\gray_2.ogg.wav,Gray ,Higurashi no Naku Koro ni Kai ,Vevn-qto7So,
answer\BGM\g_operation.ogg.wav,White Mist Peak -Pure White- ,Higurashi no Naku Koro ni Kai : The Lost Tracks ,T4hvKYS9Cq4,
answer\BGM\g_tactics.ogg.wav,R of Can ,Higurashi no Naku Koro ni Kai : The Lost Tracks ,94LSz6Fs2AU,
answer\BGM\heri.ogg.wav,
answer\BGM\hgrs01.ogg.wav,Solitude ,Higurashi no Naku Koro ni Kai ,r1xK9_vUu9o,
answer\BGM\hgrs03.ogg.wav,Feel ,Higurashi no Naku Koro ni Kai ,2QwwU37PIAw,
answer\BGM\hgrs_03.ogg.wav,Frozen memories ,Higurashi no Naku Koro ni Kai ,gR6aS2m9HEE,
answer\BGM\hidebu14.ogg.wav,camouflage legend ,Higurashi Daybreak [Disc 1] ,dlMicD7gOjM,
answer\BGM\hidebu17.ogg.wav,User's Manual ,Higurashi Daybreak [Disc 2] ,A4Fz8ds-dO0,
answer\BGM\hidebu20.ogg.wav,Wrong Color ,Higurashi Daybreak [Disc 2] ,CDOg_OhZQSc,
answer\BGM\hidebu22.ogg.wav,Way Back ,Higurashi Daybreak [Disc 2] ,XytiyIWNrl0,
answer\BGM\hidebu23.ogg.wav,Motemichi Kaku Katari ki ,Higurashi Daybreak [Disc 2] ,dQtk70ih48M,
answer\BGM\hidebu25.ogg.wav,Magatama of Fuwarazu (1) ,Higurashi Daybreak [Disc 2] ,xuLT7FO-sHM,
answer\BGM\higurashi.ogg.wav,
answer\BGM\higurashi_soundscape.ogg.wav,Festivals (Shiukusai???) ,Higurashi no Naku Koro ni Kai ,zLJW4lBlNAY,
answer\BGM\higurashi_utu.ogg.wav,Utu ,Higurashi no Naku Koro ni Kai ,4DhtzrwhVyo,
answer\BGM\higurasi.ogg.wav,
answer\BGM\hig_sample_kyouki.ogg.wav,Insanity (Kyoki ? ??) ,Higurashi no Naku Koro ni Kai : The Lost Tracks ,qsywLEgelUo,
answer\BGM\hitoe_2.ogg.wav,Single (Hitoe???) ,Higurashi no Naku Koro ni Kai ,scj4OQ_FfZE,
answer\BGM\hm01_01.ogg.wav,
answer\BGM\hm01_02.ogg.wav,
answer\BGM\hm01_04.ogg.wav,
answer\BGM\hm01_05.ogg.wav,
answer\BGM\hm01_06.ogg.wav,
answer\BGM\hm01_07.ogg.wav,
answer\BGM\hm02_08.ogg.wav,
answer\BGM\hm02_10.ogg.wav,
answer\BGM\hm02_11.ogg.wav,
answer\BGM\hm02_12.ogg.wav,
answer\BGM\hm02_13.ogg.wav,
answer\BGM\hm03_14.ogg.wav,
answer\BGM\hm04_18.ogg.wav,
answer\BGM\hm05_21.ogg.wav,
answer\BGM\hm10_54.ogg.wav,Iru ,Higurashi no Naku Koro ni Kai ,DUXfUyX7N4A,
answer\BGM\instict.ogg.wav,Quickening (Taidou???) ,Higurashi no Naku Koro ni Kai ,78M48YTHsbU,
answer\BGM\instict2.ogg.wav,Rain - Higurashi no Naku Koro ni Kai ,Higurashi no Naku Koro ni Kai ,mSAF8g8xWFw,Squall ,Higurashi no Naku Koro ni Kai ,7vNgSJmuCLw,
answer\BGM\iru.ogg.wav,Iru ,Higurashi no Naku Koro ni Kai ,DUXfUyX7N4A,
answer\BGM\it_move2.ogg.wav,Squall ,Higurashi no Naku Koro ni Kai ,7vNgSJmuCLw,Rain - Higurashi no Naku Koro ni Kai ,Higurashi no Naku Koro ni Kai ,mSAF8g8xWFw,
answer\BGM\it_moves.ogg.wav,Beat (Kodou ? ??) ,Higurashi no Naku Koro ni Kai ,xHV1sP8NIiw,Quickening (Taidou???) ,Higurashi no Naku Koro ni Kai ,78M48YTHsbU,
answer\BGM\iwakannnohatuga.ogg.wav,
answer\BGM\jikuu.ogg.wav,
answer\BGM\kaze.ogg.wav,
answer\BGM\kaze_lp.ogg.wav,
answer\BGM\keihou.ogg.wav,
answer\BGM\liberating.ogg.wav,Liberating ,Higurashi no Naku Koro ni Kai ,3gp8n60hsmU,
answer\BGM\livescene.ogg.wav,Conviction ,Higurashi no Naku Koro ni Kai ,RaIFoIsoAY8,
answer\BGM\live_2.ogg.wav,LIVE ,Higurashi no Naku Koro ni Kai ,1GjgWuWcjBA,
answer\BGM\live_scene.ogg.wav,Conviction ,Higurashi no Naku Koro ni Kai ,RaIFoIsoAY8,
answer\BGM\lsys13.ogg.wav,
answer\BGM\mati.ogg.wav,
answer\BGM\maturi_01_ver2.ogg.wav,Festival (??Matsuri) ,Higurashi no Naku Koro ni Kai ,sIQffl3TtEo,
answer\BGM\mienai.ogg.wav,Night When the Invisible Scares You ,Higurashi no Naku Koro ni Kai : The Lost Tracks ,TRF5vvM3MZU,
answer\BGM\mion.ogg.wav,
answer\BGM\msys044.ogg.wav,What is Wished ,Higurashi no Naku Koro ni Kai ,Iskv6DyiSXs,
answer\BGM\msys06.ogg.wav,Silence ,Higurashi no Naku Koro ni ,StjLCsfIbqQ,
answer\BGM\msys32.ogg.wav,Dancers #5 ,Higurashi no Naku Koro ni ,nQe2zT8nicI,
answer\BGM\m_denwa8k.ogg.wav,
answer\BGM\nazo.ogg.wav,Ancient Times (Inishie??) ,Higurashi no Naku Koro ni Kai ,PWf0dbHXUmI,
answer\BGM\omake2.ogg.wav,You (M.Box) ,Higurashi no Naku Koro ni Kai ,QiJnstjBA9Q,
answer\BGM\omake_01.ogg.wav,C-examination ,Higurashi no Naku Koro ni Kai ,sPUZTL05tuQ,
answer\BGM\pros.ogg.wav,Pros ,Higurashi no Naku Koro ni Kai ,jw8ozfMGkGI,
answer\BGM\rain.ogg.wav,
answer\BGM\rika.ogg.wav,Nipa~? ,Higurashi Daybreak [Disc 2] ,1wamdr1ruzI,
answer\BGM\samayoi.ogg.wav,Wandering Words Lead to Heaven ,Higurashi no Naku Koro ni Kai : The Lost Tracks ,U8_YBSIbXR0,
answer\BGM\search_and.ogg.wav,Search and Destroy ,Higurashi no Naku Koro ni Kai ,Xvh5lbVQX0g,
answer\BGM\search_and_destroy.ogg.wav,Search and Destroy ,Higurashi no Naku Koro ni Kai ,Xvh5lbVQX0g,
answer\BGM\semi.ogg.wav,
answer\BGM\semi_r.ogg.wav,
answer\BGM\sheep counts.ogg.wav,Sheep Counts ,Higurashi no Naku Koro ni Kai ,lEH5EVCS0yA,
answer\BGM\song_hdbop.ogg.wav,
answer\BGM\sora-yume-.ogg.wav,Fabricated Dream (Sorayume???) ,Higurashi no Naku Koro ni Kai ,_KOvyNu5_tA,
answer\BGM\sora_no_mukou.ogg.wav,Beyond the Skies (???????Sora no Mukou) [Piano] ,Higurashi no Naku Koro ni Kai ,4utMMuBEnjs,
answer\BGM\sora_no_mukou_201ver2.ogg.wav,Beyond the Skies (???????Sora no Mukou) [Piano] ,Higurashi no Naku Koro ni Kai ,4utMMuBEnjs,
answer\BGM\sora_v2_nonloop.ogg.wav,Beyond the Skies (Sora no Mukou???????) ,Higurashi no Naku Koro ni Kai ,AHVwZ13jMHQ,
answer\BGM\soul_scour.ogg.wav,Soul Scour ,Higurashi no Naku Koro ni Kai ,1AxkHZ5WGMc,
answer\BGM\suzu.ogg.wav,
answer\BGM\suzume.ogg.wav,
answer\BGM\t1.ogg.wav,Thanks ,Higurashi no Naku Koro ni Kai ,fwjrFbTBCkc,
answer\BGM\t1_requiem.ogg.wav,Requiem for the Disaster ,Higurashi no Naku Koro ni Kai : The Lost Tracks ,z7Q0t-WxgzI,
answer\BGM\t2.ogg.wav,Confession ,Higurashi no Naku Koro ni Kai ,6JM0QAyFj60,
answer\BGM\taip.ogg.wav,
answer\BGM\testament.ogg.wav,Testament ,Higurashi no Naku Koro ni Kai ,hD2LRjZhco0,
answer\BGM\tsutaetaikoto_loop.ogg.wav,Things I Want to Convey (Tsutaetai Koto???????) ,Higurashi no Naku Koro ni Kai ,otdpzAe9cQo,
answer\BGM\tuika01_ver3.ogg.wav,Being ,Higurashi no Naku Koro ni Kai ,MwXacn8HyIs,
answer\BGM\type.ogg.wav,
answer\BGM\typewriter.ogg.wav,Hollow (Uro??) ,Higurashi no Naku Koro ni Kai ,tQjwwjSUpZE,
answer\BGM\u2_2.ogg.wav,kneecap ,Higurashi Daybreak [Disc 2] ,q3PIL4qPVVU,
answer\BGM\u2_3.ogg.wav,bright sun ,Higurashi Daybreak [Disc 2] ,1BSQveysms0,
answer\BGM\u2_rika.ogg.wav,Nipa~? ,Higurashi Daybreak [Disc 2] ,1wamdr1ruzI,
answer\BGM\utage_sample.ogg.wav,Banquet (Utage??) ,Higurashi no Naku Koro ni Kai ,yudYvwzzy18,
answer\BGM\yabaisemi.ogg.wav,
answer\BGM\years_ver2.ogg.wav,Years ,Higurashi no Naku Koro ni Kai ,OOVVMxWeUyY,
answer\BGM\yoru.ogg.wav,
answer\BGM\yorumushi.ogg.wav,
answer\BGM\you.ogg.wav,you ,Higurashi no Naku Koro ni Kai ,s7hkYNovNek,You (vocals) ,Unknown ,jdY1t1utvrI,
answer\BGM\you_nonloop.ogg.wav,you ,Higurashi no Naku Koro ni Kai ,s7hkYNovNek,You (vocals) ,Unknown ,jdY1t1utvrI,
answer\BGM\z01_iwakan.ogg.wav,
answer\BGM\z02_kyousou.ogg.wav,Gallery of Madness (Kiyouki he no Kairou???????) ,Higurashi no Naku Koro ni Kai ,tQXW5L59Zpo,
answer\BGM\z2_hig1.ogg.wav,Soak ,Higurashi no Naku Koro ni Kai ,X3Ei-aR0XBg,
answer\BGM\z2_hig2.ogg.wav,What is Wished ,Higurashi no Naku Koro ni Kai ,Iskv6DyiSXs,
answer\BGM\z2_hig3.ogg.wav,daily passing by ,Higurashi no Naku Koro ni Kai ,KyMzLp80GyU,
answer\BGM\zero(nonloop).ogg.wav,Z·E·R·O ,Higurashi no Naku Koro ni Kai : The Lost Tracks ,qcs2tpnQZEQ,
answer\OGBGM\1.ogg.wav,Paris no Gogo (Afternoon in Paris) ,Higurashi no Naku Koro ni ,DEM-rr7zm9g,
answer\OGBGM\3.ogg.wav,Sutakorasassa (Helter Skelter) ,Higurashi no Naku Koro ni ,WY_-MK0XBGc,
answer\OGBGM\4.ogg.wav,Digital Network ,Higurashi no Naku Koro ni ,WABneXoH9ls,
answer\OGBGM\ame.ogg.wav,
answer\OGBGM\attack.ogg.wav,Assault Operations ,Higurashi no Naku Koro ni Kai : The Lost Tracks ,4QfNMaiM8Og,
answer\OGBGM\b01_akarui.ogg.wav,Paris no Gogo (Afternoon in Paris) ,Higurashi no Naku Koro ni ,DEM-rr7zm9g,
answer\OGBGM\b03_dame.ogg.wav,Sutakorasassa (Helter Skelter) ,Higurashi no Naku Koro ni ,WY_-MK0XBGc,
answer\OGBGM\b04_bukatu.ogg.wav,Digital Network ,Higurashi no Naku Koro ni ,WABneXoH9ls,
answer\OGBGM\b11_rika.ogg.wav,Baby's Walk (Rika) ,Higurashi no Naku Koro ni ,9kdlDI_Rb4A,
answer\OGBGM\b11_rika_oldver.ogg.wav,Baby's Walk (Rika) ,Higurashi no Naku Koro ni ,9kdlDI_Rb4A,
answer\OGBGM\BIGBEAR.ogg.wav,Big Bear ,Higurashi no Naku Koro ni Kai ,i2bp9VpmSCM,
answer\OGBGM\denwa_m.ogg.wav,
answer\OGBGM\heri.ogg.wav,
answer\OGBGM\hgrs03.ogg.wav,Frozen memories ,Higurashi no Naku Koro ni Kai ,gR6aS2m9HEE,
answer\OGBGM\higurashi.ogg.wav,
answer\OGBGM\hm05_20.ogg.wav,
answer\OGBGM\iwakannnohatuga.ogg.wav,
answer\OGBGM\jikuu.ogg.wav,
answer\OGBGM\jikuu_a.ogg.wav,
answer\OGBGM\kaze.ogg.wav,
answer\OGBGM\lsys13.ogg.wav,
answer\OGBGM\mati.ogg.wav,
answer\OGBGM\mion.ogg.wav,Spring Step (Mion) ,Higurashi no Naku Koro ni ,8gkVtW1QV6k,
answer\OGBGM\msys01.ogg.wav,Paris no Gogo (Afternoon in Paris) ,Higurashi no Naku Koro ni ,DEM-rr7zm9g,
answer\OGBGM\msys03.ogg.wav,Sutakorasassa (Helter Skelter) ,Higurashi no Naku Koro ni ,WY_-MK0XBGc,
answer\OGBGM\msys06.ogg.wav,Silence ,Higurashi no Naku Koro ni ,StjLCsfIbqQ,
answer\OGBGM\msys07.ogg.wav,Doukutsu (Cave) ,Higurashi no Naku Koro ni ,C5NjBlR3Y58,
answer\OGBGM\msys08.ogg.wav,Mazoku Kenkyuusho (Demonic Institute) ,Higurashi no Naku Koro ni ,d11-trxvJx4,
answer\OGBGM\msys09.ogg.wav,Seijaku (Quietness) ,Higurashi no Naku Koro ni ,9IReJdqR-Hc,
answer\OGBGM\msys15.ogg.wav,Silver Mirror ,Higurashi no Naku Koro ni ,qTxmYXt2nfE,
answer\OGBGM\msys17.ogg.wav,Gear (Radiata Alice Version) ,Higurashi no Naku Koro ni (07th_mod) ,5hmHA-XHI9o,Gear ,Higurashi no Naku Koro ni ,MX1hS7PwgRU,Utu ,Higurashi no Naku Koro ni Kai ,4DhtzrwhVyo,
answer\OGBGM\msys23.ogg.wav,
answer\OGBGM\msys27.ogg.wav,Tell a thing -piano solo ver.- (Radiata Alice Version) ,Higurashi no Naku Koro ni (07th_mod) ,XUNOms16TdY,
answer\OGBGM\msys30.ogg.wav,
answer\OGBGM\m_denwa8k.ogg.wav,
answer\OGBGM\primal-beat-of-horrow_T.ogg.wav,Primal Beat of Horrow ,Higurashi no Naku Koro ni Kai : The Lost Tracks ,KZuQ8WyfurE,
answer\OGBGM\rain.ogg.wav,
answer\OGBGM\rika.ogg.wav,Baby's Walk (Rika) ,Higurashi no Naku Koro ni ,9kdlDI_Rb4A,
answer\OGBGM\semi.ogg.wav,
answer\OGBGM\semi_r.ogg.wav,
answer\OGBGM\song_ps2ed1.ogg.wav,
answer\OGBGM\song_you.ogg.wav,You (vocals) ,Unknown ,jdY1t1utvrI,
answer\OGBGM\suzu.ogg.wav,
answer\OGBGM\suzume.ogg.wav,
answer\OGBGM\taip.ogg.wav,
answer\OGBGM\tsukisanbika.ogg.wav,Moon -Cruelness?Tribute- Song ,Higurashi no Naku Koro ni Kai : The Lost Tracks ,vrxGUuia50M,
answer\OGBGM\tsutaetaikoto.ogg.wav,Things I Want to Convey (Tsutaetai Koto???????) ,Higurashi no Naku Koro ni Kai ,otdpzAe9cQo,
answer\OGBGM\type.ogg.wav,
answer\OGBGM\yabaisemi.ogg.wav,
answer\OGBGM\yoru.ogg.wav,
answer\OGBGM\yorumushi.ogg.wav,
question\BGM\lsys11.ogg.wav,
question\BGM\lsys12.ogg.wav,
question\BGM\lsys13.ogg.wav,
question\BGM\lsys14.ogg.wav,
question\BGM\lsys15.ogg.wav,
question\BGM\lsys16.ogg.wav,
question\BGM\lsys17.ogg.wav,
question\BGM\lsys18.ogg.wav,
question\BGM\lsys19.ogg.wav,
question\BGM\lsys20.ogg.wav,
question\BGM\lsys21.ogg.wav,
question\BGM\lsys22.ogg.wav,
question\BGM\lsys23.ogg.wav,
question\BGM\lsys24.ogg.wav,
question\BGM\lsys25.ogg.wav,
question\BGM\lsys26.ogg.wav,
question\BGM\lsys27.ogg.wav,
question\BGM\lsys28.ogg.wav,
question\BGM\lsys29.ogg.wav,
question\BGM\lsys30.ogg.wav,
question\BGM\lsys31.ogg.wav,
question\BGM\lsys32.ogg.wav,
question\BGM\msys01.ogg.wav,Boy in the Windmill (Fuushagoya no Shounen???????? ) ,Higurashi no Naku Koro ni Kai ,szDKbPLq-to,
question\BGM\msys02.ogg.wav,kneecap ,Higurashi Daybreak [Disc 2] ,q3PIL4qPVVU,
question\BGM\msys03.ogg.wav,bright sun ,Higurashi Daybreak [Disc 2] ,1BSQveysms0,
question\BGM\msys04.ogg.wav,spinning seesaw ,Higurashi Daybreak [Disc 2] ,4IuDgaMyKLA,
question\BGM\msys05.ogg.wav,What is Wished ,Higurashi no Naku Koro ni Kai ,Iskv6DyiSXs,
question\BGM\msys06.ogg.wav,Iru ,Higurashi no Naku Koro ni Kai ,DUXfUyX7N4A,
question\BGM\msys07.ogg.wav,Gallery of Madness (Kiyouki he no Kairou???????) ,Higurashi no Naku Koro ni Kai ,tQXW5L59Zpo,
question\BGM\msys08.ogg.wav,Insanity (Kyoki ? ??) ,Higurashi no Naku Koro ni Kai : The Lost Tracks ,qsywLEgelUo,
question\BGM\msys09.ogg.wav,Quickening (Taidou???) ,Higurashi no Naku Koro ni Kai ,78M48YTHsbU,Beat (Kodou ? ??) ,Higurashi no Naku Koro ni Kai ,xHV1sP8NIiw,
question\BGM\msys11.ogg.wav,
question\BGM\msys12.ogg.wav,
question\BGM\msys13.ogg.wav,
question\BGM\msys14.ogg.wav,
question\BGM\msys15.ogg.wav,
question\BGM\msys16.ogg.wav,
question\BGM\msys17.ogg.wav,Gear ,Higurashi no Naku Koro ni ,MX1hS7PwgRU,Gear (Radiata Alice Version) ,Higurashi no Naku Koro ni (07th_mod) ,5hmHA-XHI9o,
question\BGM\msys18.ogg.wav,Dawn ,Higurashi no Naku Koro ni ,D4Vd1350-a8,Dawn (Radiata Alice Version) ,Higurashi no Naku Koro ni (07th_mod) ,6OZvSVYw2vc,
question\BGM\msys19.ogg.wav,Theme of owner ,Higurashi no Naku Koro ni ,Og3m-0CsePA,
question\BGM\msys20.ogg.wav,Fascism ,Higurashi no Naku Koro ni ,GhKrTag5Rbc,
question\BGM\msys21.ogg.wav,Rainy Days ,Higurashi no Naku Koro ni ,m18qsZ8jDyg,
question\BGM\msys22.ogg.wav,Dancers #1 ,Higurashi no Naku Koro ni ,127rv27P6AI,
question\BGM\msys23.ogg.wav,Dancers #7 ,Higurashi no Naku Koro ni ,OVFNCdodmTA,
question\BGM\msys24.ogg.wav,Snow #3 "First snow" ,Higurashi no Naku Koro ni ,QYQH4UjGuvY,
question\BGM\msys25.ogg.wav,Snow #4 "Frozen to death" ,Higurashi no Naku Koro ni ,5G_DfhL8XP0,
question\BGM\msys26.ogg.wav,Sunrise ,Higurashi no Naku Koro ni ,DvBwbtRxE0A,Sunrise (Radiata Alice Version) ,Higurashi no Naku Koro ni (07th_mod) ,JLZrdc_8UpY,
question\BGM\msys27.ogg.wav,Tell a thing -piano solo ver.- (Radiata Alice Version) ,Higurashi no Naku Koro ni (07th_mod) ,XUNOms16TdY,
question\BGM\msys28.ogg.wav,Lie lies-lies lie ,Higurashi no Naku Koro ni ,9D1MewtrV1M,
question\BGM\msys29.ogg.wav,Heigen wo Iku (Going to the Plains) ,Higurashi no Naku Koro ni ,3DpmpxF_VzQ,
question\BGM\msys30.ogg.wav,Meditation #1 ,Higurashi no Naku Koro ni ,bvHD_Plk4c4,
question\BGM\msys31.ogg.wav,Days of children #3 ,Higurashi no Naku Koro ni ,F8iQ9urzH-8,
question\BGM\msys32.ogg.wav,Dancers #5 ,Higurashi no Naku Koro ni ,nQe2zT8nicI,
question\BGM\msysmi.ogg.wav,
question\BGM\msysre.ogg.wav,
question\BGM\msysri.ogg.wav,Nipa~? ,Higurashi Daybreak [Disc 2] ,1wamdr1ruzI,
question\BGM\msyssa.ogg.wav,
question\OGBGM\lsys11.ogg.wav,
question\OGBGM\lsys12.ogg.wav,
question\OGBGM\lsys13.ogg.wav,
question\OGBGM\lsys14.ogg.wav,Asagiri (Morning Fog) ,Higurashi no Naku Koro ni ,lnBTX88qHP4,
question\OGBGM\lsys15.ogg.wav,
question\OGBGM\lsys16.ogg.wav,
question\OGBGM\lsys17.ogg.wav,
question\OGBGM\lsys18.ogg.wav,
question\OGBGM\lsys19.ogg.wav,
question\OGBGM\lsys20.ogg.wav,
question\OGBGM\lsys21.ogg.wav,
question\OGBGM\lsys22.ogg.wav,
question\OGBGM\lsys23.ogg.wav,
question\OGBGM\lsys24.ogg.wav,
question\OGBGM\lsys25.ogg.wav,
question\OGBGM\lsys26.ogg.wav,
question\OGBGM\lsys27.ogg.wav,
question\OGBGM\lsys28.ogg.wav,
question\OGBGM\lsys29.ogg.wav,
question\OGBGM\lsys30.ogg.wav,
question\OGBGM\lsys31.ogg.wav,
question\OGBGM\lsys32.ogg.wav,
question\OGBGM\msys01.ogg.wav,Paris no Gogo (Afternoon in Paris) ,Higurashi no Naku Koro ni ,DEM-rr7zm9g,
question\OGBGM\msys02.ogg.wav,Hello! ,Higurashi no Naku Koro ni ,KC5S3T68n-w,
question\OGBGM\msys03.ogg.wav,Sutakorasassa (Helter Skelter) ,Higurashi no Naku Koro ni ,WY_-MK0XBGc,
question\OGBGM\msys04.ogg.wav,Digital Network ,Higurashi no Naku Koro ni ,WABneXoH9ls,
question\OGBGM\msys05.ogg.wav,Orenji iro no Toki (Orange colored Time) ,Higurashi no Naku Koro ni ,Yan1F5U63r8,
question\OGBGM\msys06.ogg.wav,Silence ,Higurashi no Naku Koro ni ,StjLCsfIbqQ,
question\OGBGM\msys07.ogg.wav,Doukutsu (Cave) ,Higurashi no Naku Koro ni ,C5NjBlR3Y58,
question\OGBGM\msys08.ogg.wav,Mazoku Kenkyuusho (Demonic Institute) ,Higurashi no Naku Koro ni ,d11-trxvJx4,
question\OGBGM\msys09.ogg.wav,Seijaku (Quietness) ,Higurashi no Naku Koro ni ,9IReJdqR-Hc,
question\OGBGM\msys11.ogg.wav,
question\OGBGM\msys12.ogg.wav,
question\OGBGM\msys13.ogg.wav,
question\OGBGM\msys14.ogg.wav,Asagiri (Morning Fog) ,Higurashi no Naku Koro ni ,lnBTX88qHP4,
question\OGBGM\msys15.ogg.wav,Silver Mirror ,Higurashi no Naku Koro ni ,qTxmYXt2nfE,
question\OGBGM\msys16.ogg.wav,
question\OGBGM\msys17.ogg.wav,Gear ,Higurashi no Naku Koro ni ,MX1hS7PwgRU,Gear (Radiata Alice Version) ,Higurashi no Naku Koro ni (07th_mod) ,5hmHA-XHI9o,
question\OGBGM\msys18.ogg.wav,Dawn ,Higurashi no Naku Koro ni ,D4Vd1350-a8,Dawn (Radiata Alice Version) ,Higurashi no Naku Koro ni (07th_mod) ,6OZvSVYw2vc,
question\OGBGM\msys19.ogg.wav,Theme of owner ,Higurashi no Naku Koro ni ,Og3m-0CsePA,
question\OGBGM\msys20.ogg.wav,Fascism ,Higurashi no Naku Koro ni ,GhKrTag5Rbc,
question\OGBGM\msys21.ogg.wav,Rainy Days ,Higurashi no Naku Koro ni ,m18qsZ8jDyg,
question\OGBGM\msys22.ogg.wav,Dancers #1 ,Higurashi no Naku Koro ni ,127rv27P6AI,
question\OGBGM\msys23.ogg.wav,Dancers #7 ,Higurashi no Naku Koro ni ,OVFNCdodmTA,
question\OGBGM\msys24.ogg.wav,Snow #3 "First snow" ,Higurashi no Naku Koro ni ,QYQH4UjGuvY,
question\OGBGM\msys25.ogg.wav,Snow #4 "Frozen to death" ,Higurashi no Naku Koro ni ,5G_DfhL8XP0,
question\OGBGM\msys26.ogg.wav,Sunrise ,Higurashi no Naku Koro ni ,DvBwbtRxE0A,Sunrise (Radiata Alice Version) ,Higurashi no Naku Koro ni (07th_mod) ,JLZrdc_8UpY,
question\OGBGM\msys27.ogg.wav,Tell a thing -piano solo ver.- (Radiata Alice Version) ,Higurashi no Naku Koro ni (07th_mod) ,XUNOms16TdY,
question\OGBGM\msys28.ogg.wav,Lie lies-lies lie ,Higurashi no Naku Koro ni ,9D1MewtrV1M,
question\OGBGM\msys29.ogg.wav,Heigen wo Iku (Going to the Plains) ,Higurashi no Naku Koro ni ,3DpmpxF_VzQ,
question\OGBGM\msys30.ogg.wav,
question\OGBGM\msys31.ogg.wav,Days of children #3 ,Higurashi no Naku Koro ni ,F8iQ9urzH-8,
